1B,,,,ECS 1101,ENG,Online,ECA 1101,AS,Online,,,,BDS 1001,DJMF,Online,,,
1C,,,,ECS 1101,ENG,Online,ECA 1101,AS,Online,,,,BDS 1001,DJMF,Online,,,
2A,CSE 1210 - I,SDO,1503,CSE 1210 - I,SDO,1503,PHY 1002 - I,SAR,1506,PHY 1002 - II,SAR,1506,CSE 1210 - II,SDO,1503,CSE 1210 - II,SDO,1503
3A,EEE 2104-II,MN,1506,CSE 2101,TA,UB 110,EEE 2103,SR,UB 111,CSE 2103,SN,UB 110,MAT 2105,HR,Annex,,,
3B,,,,,,,CSE 2103,ARD,2004,EEE 2103,SR,2004,CSE 2101,TA,1501,MAT 2105,HR,1501
3C,CSE 2100 - I,AIN,UB 103,CSE 2100 - I,AIN,UB 103,CSE2102 - I,JFJ,1504,CSE2102 - I,JFJ,1504,EEE 2104 - I,SR,1506,,,
4A,,,,,,,MAT 2208 - II,ABM,1505,CSE 2208 - II,MMH,1505,,,,EEE 2206 - II,SR,1506
5A,,,,,,,CSE 3102 - II,SAK,1503,CSE 3102 - II,SAK,1503,CSE 3100 - II,MMH,1504,CSE 3100 - II,MMH,1504
6A,,,,,,,CSE 3204 - II,TA,UB 103,CSE 3204 - II,TA,UB 103,CSE 3200 - I,EJ,1505,CSE 3200 - I,EJ,1505
7,,,,,,,,,,,,,,,,,,
8A,,,,CSE 3311,ARD,2004,,,,CSE 3297,EKH,1501,CSE 3316,FA,2004,,,
8B,CSE 3314 - I,EKH,1504,CSE 3314 - I,EKH,1504,,,,,,,,,,,,
8C,,,,CSE 3297,FHM,1501,,,,CSE 3311,ARD,UB 111,,,,CSE 3313,JFJ,2004
9A,,,,,,,CSE 4115,MMH,UB 110,CSE 4112,SDS,Annex,CSE 3313,AIN,UB 110,CSE 3315,TD,UB110
10A,ICT 4106,EJ,1501,CSE 4145,MAK,UB 111,,,,,,,CSE 4233,ARD,UB 111,,,
11A,,,,,,,,,,,,,,,,,,
12A,,,,,,,,,,,,,,,,,,
,,,,IoT Com,MN,1506,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Tuesday,,,,,,,,,,,,,,,,,
,8.30 AM - 9.50 AM,,,10.00 AM - 11.20 AM,,,11.30 AM - 12.50 PM,,,1.00 PM - 2.30 PM,,,2.30 PM - 3.50 PM,,,4.00 PM - 5.20 PM,,
Section,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room,Course,Faculty,Room
1A,CSE 1102 - I,ANM,1504,CSE 1102 - I,ANM,1504,MAT 1101,ABM,1501,,,,CSE 1102 - II,ANM,1505,CSE 1102 - II,ANM,1505
1B,,,,,,,CSE 1100,TA,1505,CSE 1100,TA,1505,,,,,,
1C,,,,,,,CSE 1100,EJ,1504,CSE 1100,EJ,1504,,,,,,
2A,CSE 1201,THL,1501,CSE 1203,FI,1501,,,,,,,PHY 1001,SAR,UB 110,MAT 1203,HR,1501
3A,CSE 2110 ,SDO,1505,CSE 2110,SDO,1505,,,,,,,MAT 2105,HR,Annex,,,
3B,,,,,,,,,,,,,,,,,,
3C,CSE 2110 - II,SDS,1503,CSE 2110 - II,SDS,1503,,,UB 110,EEE 2103,SR,2004,CSE 2110 - I,SDS,1504,CSE 2110 - I,SDS,1504
4A,MAT 2207,ABM,UB 111,CSE 2209,SN,UB 110,,,,CSE 2201,SHB,UB 111,EEE 2205,SR,UB 111,,,
5A,,,,,,,CSE 3103,MOH,2004,,,,STA 3001,MDS,2004,,,
6A,CSE 3205,DRI,Online,CSE 3205,DRI,Online,CSE 3206,DRI,Online,,,,,,,,,
